repo,source,design_dirs,denominator,pass_count,fail_count,skip_count,unknown_count,pass_rate,fail_rate,skip_rate,unknown_rate
ProgSG,manifest,63,63,41,22,0,0,0.6507936507936508,0.3492063492063492,0.0,0.0
InTAR,manifest,60,60,0,17,0,43,0.0,0.2833333333333333,0.0,0.7166666666666667
balor,manifest,39,39,32,7,0,0,0.8205128205128205,0.1794871794871795,0.0,0.0
Spector-HLS,benchmark,35,35,0,0,0,35,0.0,0.0,0.0,1.0
DP-HLS,manifest,29,30,1,29,0,0,0.03333333333333333,0.9666666666666667,0.0,0.0
fpgaconvnet-hls,manifest,26,27,1,26,0,0,0.037037037037037035,0.9629629629629629,0.0,0.0
S2CBench,manifest,24,24,1,0,0,23,0.041666666666666664,0.0,0.0,0.9583333333333334
HLSPilot,manifest,19,19,11,8,0,0,0.5789473684210527,0.42105263157894735,0.0,0.0
NN2FPGA,benchmark,17,17,0,0,0,17,0.0,0.0,0.0,1.0
HP-FFT-HLS,manifest,16,16,16,0,0,0,1.0,0.0,0.0,0.0
ScaleHLS-HIDA,manifest,16,16,16,0,0,0,1.0,0.0,0.0,0.0
HiSpMV,manifest,15,15,14,0,1,0,0.9333333333333333,0.0,0.06666666666666667,0.0
BitBlender,manifest,15,15,1,0,0,14,0.06666666666666667,0.0,0.0,0.9333333333333333
pasta,manifest,12,12,0,12,0,0,0.0,1.0,0.0,0.0
SERI,manifest,10,10,10,0,0,0,1.0,0.0,0.0,0.0
AutoNTT,manifest,8,8,8,0,0,0,1.0,0.0,0.0,0.0
hls-fpga-accelerators,manifest,6,6,5,0,0,1,0.8333333333333334,0.0,0.0,0.16666666666666666
CLINK,manifest,4,4,4,0,0,0,1.0,0.0,0.0,0.0
hpcc,manifest,4,4,4,0,0,0,1.0,0.0,0.0,0.0
gemm_hls,manifest,3,3,3,0,0,0,1.0,0.0,0.0,0.0
SyncNN,manifest,3,3,3,0,0,0,1.0,0.0,0.0,0.0
blaze,manifest,3,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333
ThunderGP,manifest,3,3,0,3,0,0,0.0,1.0,0.0,0.0
PQC-Crystals-HLS-Accelerators,manifest,2,2,2,0,0,0,1.0,0.0,0.0,0.0
CHIP-KNN,manifest,1,1,1,0,0,0,1.0,0.0,0.0,0.0
FORC,manifest,1,1,1,0,0,0,1.0,0.0,0.0,0.0
HLS-CNN,manifest,1,1,1,0,0,0,1.0,0.0,0.0,0.0
